% set_pose_packingboxes_b_wp_sim_time_res_pose  right_arm  basic_scene + packingboxes %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	RRTConnectConfigDefault	4	10	0.085	1.308	1
r	RRTConnectConfigDefault	4	11	0.059	2.599	1
r	RRTConnectConfigDefault	4	12	0.07	1.451	1
r	RRTConnectConfigDefault	4	13	0.077	1.191	1
r	RRTConnectConfigDefault	4	14	0.077	7.498	1
r	RRTConnectConfigDefault	4	15	0.051	1.314	1
r	RRTConnectConfigDefault	4	16	0.066	1.437	1
r	RRTStarConfigDefault	0	0	0.097	4.473	1
r	RRTStarConfigDefault	0	1	0.04	1.89	1
r	RRTStarConfigDefault	0	2	0.078	2.001	1
r	RRTStarConfigDefault	0	3	0.061	2.938	1
r	RRTStarConfigDefault	0	4	0.062	5.782	1
r	RRTStarConfigDefault	0	5	0.105	1.921	1
r	RRTStarConfigDefault	0	6	0.067	0.856	1
r	RRTStarConfigDefault	0	7	0.045	1.191	1
r	RRTStarConfigDefault	0	8	0.1	13.672	1
r	RRTStarConfigDefault	0	9	0.064	1.379	1
r	RRTStarConfigDefault	0	10	0.05	1.456	1
r	RRTStarConfigDefault	0	11	0.065	1.857	1
r	RRTStarConfigDefault	0	12	0.04	1.162	1
r	RRTStarConfigDefault	0	13	0.07	1.057	1
r	RRTStarConfigDefault	0	14	-1	-1	0
r	RRTStarConfigDefault	0	15	-1	-1	0
r	RRTStarConfigDefault	0	16	0.089	7.361	1
r	RRTStarConfigDefault	1	0	-1	-1	0
r	RRTStarConfigDefault	1	1	0.097	12.985	1
r	RRTStarConfigDefault	1	2	0.057	2.161	1
r	RRTStarConfigDefault	1	3	-1	-1	0
r	RRTStarConfigDefault	1	4	0.073	0.818	1
r	RRTStarConfigDefault	1	5	0.077	2.214	1
r	RRTStarConfigDefault	1	6	0.086	1.565	1
r	RRTStarConfigDefault	1	7	0.057	1.226	1
r	RRTStarConfigDefault	1	8	0.043	2.193	1
r	RRTStarConfigDefault	1	9	0.069	1.374	1
r	RRTStarConfigDefault	1	10	0.083	1.437	1
r	RRTStarConfigDefault	1	11	0.067	1.809	1
r	RRTStarConfigDefault	1	12	0.058	1.132	1
r	RRTStarConfigDefault	1	13	0.071	1.014	1
r	RRTStarConfigDefault	1	14	-1	-1	0
r	RRTStarConfigDefault	1	15	-1	-1	0
r	RRTStarConfigDefault	1	16	0.084	10.944	1
r	RRTStarConfigDefault	2	0	-1	-1	0
r	RRTStarConfigDefault	2	1	-1	-1	0
r	RRTStarConfigDefault	2	2	0.056	2.579	1
r	RRTStarConfigDefault	2	3	0.095	2.967	1
r	RRTStarConfigDefault	2	4	0.092	4.676	1
r	RRTStarConfigDefault	2	5	0.051	1.885	1
r	RRTStarConfigDefault	2	6	0.08	1.068	1
r	RRTStarConfigDefault	2	7	0.033	1.154	1
r	RRTStarConfigDefault	2	8	0.058	2.356	1
r	RRTStarConfigDefault	2	9	0.088	1.237	1
r	RRTStarConfigDefault	2	10	0.057	1.329	1
r	RRTStarConfigDefault	2	11	0.038	2.808	1
r	RRTStarConfigDefault	2	12	0.046	1.47	1
r	RRTStarConfigDefault	2	13	0.06	1.229	1
r	RRTStarConfigDefault	2	14	0.084	9.496	1
r	RRTStarConfigDefault	2	15	0.113	8.035	1
r	RRTStarConfigDefault	2	16	0.06	1.62	1
r	RRTStarConfigDefault	3	0	-1	-1	0
r	RRTStarConfigDefault	3	1	0.076	6.976	1
r	RRTStarConfigDefault	3	2	0.083	10.292	1
r	RRTStarConfigDefault	3	3	-1	-1	0
r	RRTStarConfigDefault	3	4	0.101	0.924	1
